Date,Open,High,Low,Close,Volume
2023-01-01,23800.5,23850.2,23750.1,23820.8,1000000
2023-01-02,23820.8,23870.3,23800.2,23845.6,1200000
2023-01-03,23845.6,23890.1,23825.4,23878.9,1100000
2023-01-04,23878.9,23920.5,23860.2,23895.3,1300000
2023-01-05,23895.3,23935.8,23885.7,23912.4,1150000
2023-01-06,23912.4,23945.2,23900.1,23928.6,1250000
2023-01-07,23928.6,23960.8,23915.3,23942.7,1080000
2023-01-08,23942.7,23975.4,23930.5,23958.2,1320000
2023-01-09,23958.2,23990.6,23945.8,23975.1,1200000
2023-01-10,23975.1,24010.3,23960.4,23992.8,1350000
2023-01-11,23992.8,24025.7,23980.2,24008.5,1180000
2023-01-12,24008.5,24040.9,23995.6,24022.3,1400000
2023-01-13,24022.3,24055.1,24010.8,24038.7,1220000
2023-01-14,24038.7,24070.4,24025.3,24055.9,1300000
2023-01-15,24055.9,24085.2,24042.1,24071.6,1250000
2023-01-16,24071.6,24100.8,24058.4,24087.3,1380000
2023-01-17,24087.3,24115.6,24073.7,24102.1,1150000
2023-01-18,24102.1,24130.4,24088.9,24118.7,1420000
2023-01-19,24118.7,24145.2,24105.3,24135.8,1280000
2023-01-20,24135.8,24160.6,24122.4,24152.3,1350000
2023-01-21,24152.3,24175.9,24138.7,24168.5,1200000
2023-01-22,24168.5,24190.3,24155.2,24184.7,1450000
2023-01-23,24184.7,24205.8,24171.4,24201.2,1300000
2023-01-24,24201.2,24220.6,24187.9,24217.4,1380000
2023-01-25,24217.4,24235.1,24204.3,24233.8,1220000
2023-01-26,24233.8,24250.7,24220.5,24250.2,1400000
2023-01-27,24250.2,24265.9,24237.6,24266.1,1280000
2023-01-28,24266.1,24281.4,24253.8,24282.7,1350000
2023-01-29,24282.7,24297.2,24269.5,24298.9,1250000
2023-01-30,24298.9,24312.6,24285.3,24315.4,1420000
